sample,microenvironment_Microenvironment_1,microenvironment_Microenvironment_2,microenvironment_Microenvironment_3,treatment_5-FU,treatment_Chemotherapy + Immunotherapy,treatment_Control,treatment_Immunotherapy,treatment_Oxaliplatin,donor_P02,donor_P03,donor_P07,donor_P15
P02con,1,0,0,0,0,1,0,0,1,0,0,0
P02fu,1,0,0,1,0,0,0,0,1,0,0,0
P02ox,1,0,0,0,0,0,0,1,1,0,0,0
P03con,1,0,0,0,0,1,0,0,0,1,0,0
P03fu,1,0,0,1,0,0,0,0,0,1,0,0
P03ox,1,0,0,0,0,0,0,1,0,1,0,0
P07con,1,0,0,0,0,1,0,0,0,0,1,0
P07fu,1,0,0,1,0,0,0,0,0,0,1,0
P07ox,1,0,0,0,0,0,0,1,0,0,1,0
P15con,1,0,0,0,0,1,0,0,0,0,0,1
P15fu,1,0,0,1,0,0,0,0,0,0,0,1
P15ox,1,0,0,0,0,0,0,1,0,0,0,1
P02_Ccon,0,1,0,0,0,1,0,0,1,0,0,0
P02_Cfu,0,1,0,1,0,0,0,0,1,0,0,0
P02_Cox,0,1,0,0,0,0,0,1,1,0,0,0
P03_Ccon,0,1,0,0,0,1,0,0,0,1,0,0
P03_Cfu,0,1,0,1,0,0,0,0,0,1,0,0
P03_Cox,0,1,0,0,0,0,0,1,0,1,0,0
P07_Ccon,0,1,0,0,0,1,0,0,0,0,1,0
P07_Cfu,0,1,0,1,0,0,0,0,0,0,1,0
P07_Cox,0,1,0,0,0,0,0,1,0,0,1,0
P15_Ccon,0,1,0,0,0,1,0,0,0,0,0,1
P15_Cfu,0,1,0,1,0,0,0,0,0,0,0,1
P15_Cox,0,1,0,0,0,0,0,1,0,0,0,1
P02_CPc,0,0,1,0,0,1,0,0,1,0,0,0
P02_CPp1,0,0,1,0,0,0,1,0,1,0,0,0
P02_CPs1,0,0,1,0,1,0,0,0,1,0,0,0
P03_CPc,0,0,1,0,0,1,0,0,0,1,0,0
P03_CPp1,0,0,1,0,0,0,1,0,0,1,0,0
P03_CPs1,0,0,1,0,1,0,0,0,0,1,0,0
P07_CPc,0,0,1,0,0,1,0,0,0,0,1,0
P07_CPp1,0,0,1,0,0,0,1,0,0,0,1,0
P07_CPs1,0,0,1,0,1,0,0,0,0,0,1,0
P15_CPc,0,0,1,0,0,1,0,0,0,0,0,1
P15_CPp1,0,0,1,0,0,0,1,0,0,0,0,1
P15_CPs1,0,0,1,0,1,0,0,0,0,0,0,1
