"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ENSG00000225423",1.77564929090683,-28.9234282335992,3.07916613767079,-9.3932665339968,5.81677116511425e-21,1.88928727442911e-16,TRUE,"Down"
"ENSG00000183036",1.01277190031338,-29.9978041994084,3.73700995986184,-8.02722083205725,9.97055171926441e-16,1.61921759920854e-11,TRUE,"Down"
"ENSG00000241765",1.20813249262775,-29.3324545595267,3.73141839686885,-7.86093957840282,3.8126267506151e-15,4.12780389533261e-11,TRUE,"Down"
"ENSG00000223598",0.832696795141763,-29.1356079441443,3.74370790496574,-7.78255373649695,7.10749978321822e-15,5.7712898239732e-11,TRUE,"Down"
"ENSG00000201747",0.680382109863871,-28.922155052828,3.74404997263999,-7.72483146971314,1.12001425767926e-14,6.06301051490373e-11,TRUE,"Down"
"ENSG00000251402",0.985249261786227,-28.9037554228776,3.73952271669151,-7.7292632275944,1.08170797405053e-14,6.06301051490373e-11,TRUE,"Down"
"ENSG00000176659",2.50576025858828,-23.2758037325679,3.04294436616661,-7.64910590918554,2.02381507817427e-14,8.21668921738756e-11,TRUE,"Down"
"ENSG00000229694",2.10409027677135,-22.2704161185849,2.91138258145235,-7.64942960793397,2.01872746093644e-14,8.21668921738756e-11,TRUE,"Down"
"ENSG00000223642",3.41796782620248,19.1304491393256,2.64047168618418,7.24508777709011,4.32159230819872e-13,1.5596146463366e-09,TRUE,"Up"
"ENSG00000259735",0.842573034766303,-25.4186081264617,3.78998485562878,-6.70678356107693,1.98961025356637e-11,6.46225410358358e-08,TRUE,"Down"
"ENSG00000271917",1.9139129357127,-22.2394150509114,3.35549716787632,-6.62775557190728,3.40829214122173e-11,1.00637571588074e-07,TRUE,"Down"
"ENSG00000143847",144.562906049256,-3.03054006388581,0.464479090454588,-6.524599548539,6.81834531156189e-11,1.84549879766275e-07,TRUE,"Down"
"ENSG00000230725",2.1489159296225,-23.1795490126322,3.59371720800241,-6.45002031907699,1.11835156483738e-10,2.59457563042272e-07,TRUE,"Down"
"ENSG00000267581",1.75201924363189,-22.4480151178991,3.47992991497969,-6.45070897010582,1.11328107346798e-10,2.59457563042272e-07,TRUE,"Down"
"ENSG00000237756",1.60874685257811,-22.5373052931725,3.56005979833727,-6.33059739718377,2.44213803737639e-10,5.28804289693234e-07,TRUE,"Down"
"ENSG00000234636",1.62927680874578,-19.7243085681282,3.18957331693027,-6.18399597947209,6.24989599698108e-10,1.26872888738716e-06,TRUE,"Down"
"ENSG00000211891",3.46951001958015,-20.2306232094959,3.36491593969574,-6.01222246619487,1.82996953170521e-09,3.30207835498806e-06,TRUE,"Down"
"ENSG00000277510",1.39346223602205,-22.5868956738362,3.7527537234516,-6.01875245174944,1.75766425969973e-09,3.30207835498806e-06,TRUE,"Down"
"ENSG00000257231",1.53338728861222,-22.3798932444163,3.75190393496154,-5.96494303488763,2.44719402515812e-09,4.18341378616504e-06,TRUE,"Down"
"ENSG00000279622",1.38783133785733,-22.081551789616,3.71904220382728,-5.93742974115534,2.89525051670306e-09,4.70188683912577e-06,TRUE,"Down"
"ENSG00000113578",1.63068581026676,-20.7340428517348,3.51107978778027,-5.90531805169914,3.51967050104935e-09,5.20310639926511e-06,TRUE,"Down"
"ENSG00000257771",1.56225242729021,-20.6304828486503,3.49367046376066,-5.90510268860425,3.52427157585691e-09,5.20310639926511e-06,TRUE,"Down"
"ENSG00000130822",169.887471374091,-2.87223730072113,0.489857083706154,-5.86341893637712,4.53432264702297e-09,5.93107141261497e-06,TRUE,"Down"
