"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140014","mitotic nuclear division","41/478","259/12837",0.158301158301158,4.25128027010872,10.3952665997208,2.56404248044815e-15,8.56646592717726e-12,8.40021800799231e-12,"CENPF/CDT1/KIF11/UBE2S/CDC25C/BUB1/NUF2/ZWINT/SPAG5/CDC20/CCNB1/TTK/KIF15/RACGAP1/CDK1/ANLN/MKI67/KIF18A/NEK2/CDCA8/KIF23/KIF20B/CDCA2/PLK1/AURKB/KIF2C/BUB1B/BIRC5/AURKA/CENPA/KNL1/KIF4A/UBE2C/KIF14/NCAPH/CENPE/NUSAP1/UHRF1/KIFC1/DLGAP5/TPX2",41
"GO:0000819","sister chromatid segregation","37/478","230/12837",0.160869565217391,4.32025650354739,9.99233105180538,3.70357029618086e-14,6.18681417977013e-11,6.0667477495159e-11,"CENPF/CDT1/KIF11/TACC3/TOP2A/BUB1/NUF2/ZWINT/SPAG5/CDC20/CCNB1/TTK/KIF15/RACGAP1/CDK1/KIF18A/CDCA8/KIF23/PLK1/AURKB/KIF2C/BUB1B/BIRC5/CENPA/NEK6/KNL1/KIF4A/UBE2C/MAPK15/KIF14/NCAPH/CENPE/NUSAP1/UHRF1/KIFC1/DLGAP5/TPX2",37
"GO:0098813","nuclear chromosome segregation","40/478","275/12837",0.145454545454545,3.90627615062761,9.58100279383518,1.0333112542556e-13,1.15076430015599e-10,1.12843161687684e-10,"CENPF/CDT1/KIF11/TACC3/ECT2/TOP2A/BUB1/NUF2/ZWINT/SPAG5/CDC20/CCNB1/TTK/KIF15/RACGAP1/CDK1/KIF18A/NEK2/CDCA8/KIF23/PLK1/AURKB/SACK1D/KIF2C/BUB1B/BIRC5/CENPA/NEK6/KNL1/KIF4A/UBE2C/MAPK15/KIF14/NCAPH/CENPE/NUSAP1/UHRF1/KIFC1/DLGAP5/TPX2",40
"GO:0000070","mitotic sister chromatid segregation","33/478","193/12837",0.170984455958549,4.59189845426757,9.88775274085036,1.58430251226784e-13,1.32328867337172e-10,1.29760783949002e-10,"CENPF/CDT1/KIF11/BUB1/NUF2/ZWINT/SPAG5/CDC20/CCNB1/TTK/KIF15/RACGAP1/CDK1/KIF18A/CDCA8/KIF23/PLK1/AURKB/KIF2C/BUB1B/BIRC5/CENPA/KNL1/KIF4A/UBE2C/KIF14/NCAPH/CENPE/NUSAP1/UHRF1/KIFC1/DLGAP5/TPX2",33
"GO:0007059","chromosome segregation","47/478","376/12837",0.125,3.35695606694561,9.12233671186688,2.14903367877142e-13,1.43598430415507e-10,1.40811640570342e-10,"CENPF/CDT1/KIF11/TACC3/HJURP/ECT2/TOP2A/BUB1/NUF2/ZWINT/SPAG5/CDC20/CCNB1/TTK/KIF15/RACGAP1/CDK1/MKI67/KIF18A/NEK2/CDCA8/KIF23/REC8/CENPH/CDCA2/PLK1/AURKB/SACK1D/KIF2C/BUB1B/BIRC5/CENPA/NEK6/KNL1/KIF4A/UBE2C/MAPK15/KIF14/NCAPH/CENPE/NUSAP1/UHRF1/CENPM/KIFC1/DLGAP5/HAUS4/TPX2",47
"GO:0000280","nuclear division","44/478","346/12837",0.127167630057803,3.4151691779331,8.95620734276006,7.22748505192947e-13,4.02450459308273e-10,3.94640173012407e-10,"CENPF/CDT1/KIF11/UBE2S/CDC25C/TOP2A/BUB1/NUF2/ZWINT/SPAG5/CDC20/CCNB1/TTK/KIF15/RACGAP1/CDK1/ANLN/MKI67/KIF18A/NEK2/CDCA8/KIF23/REC8/KIF20B/CDCA2/PLK1/AURKB/KIF2C/BUB1B/BIRC5/AURKA/CENPA/KNL1/KIF4A/UBE2C/MAPK15/KIF14/NCAPH/CENPE/NUSAP1/UHRF1/KIFC1/DLGAP5/TPX2",44
"GO:0048285","organelle fission","46/478","389/12837",0.118251928020566,3.17573221757322,8.56973889493291,2.90625565405949e-12,1.38711430574468e-09,1.36019481888019e-09,"CENPF/CDT1/KIF11/MCU/UBE2S/CDC25C/TOP2A/BUB1/NUF2/ZWINT/SPAG5/CDC20/CCNB1/TTK/KIF15/RACGAP1/CDK1/ANLN/MKI67/KIF18A/NEK2/CDCA8/KIF23/REC8/KIF20B/CDCA2/PLK1/AURKB/KIF2C/BUB1B/BIRC5/AURKA/CENPA/KNL1/KIF4A/UBE2C/MAPK15/KIF14/NCAPH/CENPE/NUSAP1/DNM1L/UHRF1/KIFC1/DLGAP5/TPX2",46
"GO:0051276","chromosome organization","53/478","500/12837",0.106,2.84669874476987,8.28349110434473,4.44784589993704e-12,1.85753164396121e-09,1.82148284936447e-09,"CENPF/CDT1/MYC/KIF11/TACC3/HJURP/TOP2A/BUB1/HNRNPD/NUF2/ZWINT/SPAG5/CDC20/HMGB3/CCNB1/TTK/CENPV/KIF15/TOP1MT/RACGAP1/CDK1/TERT/CBX5/KIF18A/NEK2/CDCA8/KIF23/REC8/CENPH/HNRNPA1/PLK1/AURKB/KIF2C/TCF7L2/BUB1B/BIRC5/RUVBL2/CENPA/NEK6/KNL1/KIF4A/UBE2C/MAPK15/ERN2/KIF14/NCAPH/PIF1/CENPE/NUSAP1/UHRF1/KIFC1/DLGAP5/TPX2",53
"GO:0051310","metaphase chromosome alignment","22/478","101/12837",0.217821782178218,5.84974522556858,9.62277258549434,1.37927298294162e-11,4.70855660014878e-09,4.61717845847476e-09,"CENPF/CDT1/ECT2/NUF2/ZWINT/SPAG5/CCNB1/TTK/RACGAP1/CDK1/KIF18A/NEK2/CDCA8/AURKB/SACK1D/KIF2C/BIRC5/CENPA/KNL1/KIF14/CENPE/KIFC1",22
"GO:0050000","chromosome localization","23/478","111/12837",0.207207207207207,5.56468393079272,9.4986826395611,1.40932553132259e-11,4.70855660014878e-09,4.61717845847476e-09,"CENPF/CDT1/ECT2/NUF2/ZWINT/SPAG5/CCNB1/TTK/RACGAP1/CDK1/KIF18A/NEK2/CDCA8/AURKB/SACK1D/KIF2C/BIRC5/CENPA/KNL1/KIF14/CENPE/KIFC1/DLGAP5",23
"GO:0007088","regulation of mitotic nuclear division","22/478","107/12837",0.205607476635514,5.52172212880773,9.23673946153107,4.63027940413158e-11,1.40634213538215e-08,1.37904949736118e-08,"CENPF/CDC25C/BUB1/NUF2/ZWINT/CDC20/CCNB1/TTK/MKI67/NEK2/CDCA8/KIF20B/CDCA2/PLK1/AURKB/BUB1B/BIRC5/AURKA/KNL1/UBE2C/NUSAP1/DLGAP5",22
"GO:0044772","mitotic cell cycle phase transition","43/478","379/12837",0.113456464379947,3.0469469314757,7.9549812717975,6.07175457939767e-11,1.69047767081397e-08,1.65767086371399e-08,"MELK/MUC1/CENPF/MYC/TACC3/UBE2S/TICRR/CDC25C/SLFN11/BUB1/NUF2/ZWINT/INTS3/CDC20/CCNB1/DNM2/TTK/CDK1/TERT/ANLN/NEK2/CDCA8/DLG1/EIF4EBP1/PLK1/AURKB/BUB1B/BIRC5/AURKA/CCNA2/NEK6/KNL1/UBE2C/KIF14/CENPE/FOXM1/CCNB2/E2F1/CDKN3/DLGAP5/CCNF/KHDRBS1/USH1C",43
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","26/478","154/12837",0.168831168831169,4.53407053197848,8.6768424812616,8.50000770707864e-11,2.18450198071921e-08,2.14210772947987e-08,"KIF11/TACC3/NUF2/CCNB1/TTK/KIF15/RACGAP1/CDK1/SAPCD2/CDCA8/KIF23/CENPH/PLK1/AURKB/BIRC5/AURKA/CENPA/NEK6/KIF4A/CENPE/NUSAP1/UHRF1/KIFC1/DLGAP5/PKHD1/TPX2",26
