"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-68877","Mitotic Prometaphase","28/347","195/8526",0.143589743589744,3.52808689869209,7.35567552966069,4.59667379919453e-09,4.17962363888497e-06,4.17962363888497e-06,"CENPF/BUB1/NUF2/ZWINT/CDC20/CCNB1/CEP72/CDK1/KIF18A/NEK2/CDCA8/CENPH/PLK1/AURKB/KIF2C/BUB1B/TUBA1B/BIRC5/CENPA/NEK6/KNL1/NCAPH/CENPE/TUBB/CCNB2/CENPM/HAUS4/PLK4",28
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion","21/347","118/8526",0.177966101694915,4.37273482147218,7.59868910036843,8.9308197412072e-09,4.17962363888497e-06,4.17962363888497e-06,"CENPF/BUB1/NUF2/ZWINT/CDC20/CCNB1/CDK1/KIF18A/CDCA8/CENPH/PLK1/AURKB/KIF2C/BUB1B/TUBA1B/BIRC5/CENPA/KNL1/CENPE/CCNB2/CENPM",21
"R-HSA-191273","Cholesterol biosynthesis","10/347","26/8526",0.384615384615385,9.4502327643538,8.88807498999956,3.25352438488866e-08,8.34036348879807e-06,8.34036348879807e-06,"DHCR7/FDPS/MSMO1/HMGCS1/FDFT1/SQLE/EBP/HMGCR/DHCR24/ACAT2",10
"R-HSA-983189","Kinesins","13/347","48/8526",0.270833333333333,6.65453890489913,8.09157262035026,3.56425790119576e-08,8.34036348879807e-06,8.34036348879807e-06,"KIF11/KIF15/KIF26B/RACGAP1/KIF18A/KIF23/KIF20B/KIF2C/TUBA1B/KIF4A/CENPE/KIFC1/KIF20A",13
"R-HSA-9648025","EML4 and NUDC in mitotic spindle formation","19/347","108/8526",0.175925925925926,4.32260646813961,7.15728235280388,5.61708952350293e-08,1.02238826585702e-05,1.02238826585702e-05,"CENPF/BUB1/NUF2/ZWINT/CDC20/KIF18A/CDCA8/CENPH/PLK1/AURKB/KIF2C/BUB1B/TUBA1B/BIRC5/CENPA/NEK6/KNL1/CENPE/CENPM",19
"R-HSA-69618","Mitotic Spindle Checkpoint","19/347","109/8526",0.174311926605505,4.28294952806493,7.10494333301284,6.5537709349809e-08,1.02238826585702e-05,1.02238826585702e-05,"CENPF/UBE2S/BUB1/NUF2/ZWINT/CDC20/KIF18A/CDCA8/CENPH/PLK1/AURKB/KIF2C/BUB1B/BIRC5/CENPA/KNL1/UBE2C/CENPE/CENPM",19
"R-HSA-141424","Amplification of signal from the kinetochores","17/347","92/8526",0.184782608695652,4.54022052374389,7.03184449409223,1.35335027533825e-07,1.58341982214575e-05,1.58341982214575e-05,"CENPF/BUB1/NUF2/ZWINT/CDC20/KIF18A/CDCA8/CENPH/PLK1/AURKB/KIF2C/BUB1B/BIRC5/CENPA/KNL1/CENPE/CENPM",17
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","17/347","92/8526",0.184782608695652,4.54022052374389,7.03184449409223,1.35335027533825e-07,1.58341982214575e-05,1.58341982214575e-05,"CENPF/BUB1/NUF2/ZWINT/CDC20/KIF18A/CDCA8/CENPH/PLK1/AURKB/KIF2C/BUB1B/BIRC5/CENPA/KNL1/CENPE/CENPM",17
"R-HSA-8957322","Metabolism of steroids","18/347","120/8526",0.15,3.68559077809798,6.10235676288608,1.47629288209106e-06,0.000144336818067361,0.000144336818067361,"DHCR7/FDPS/FASN/ABCC3/MSMO1/HMGCS1/STARD4/FDFT1/SCD/INSIG2/INSIG1/ELOVL6/SQLE/EBP/ACACA/HMGCR/DHCR24/ACAT2",18
"R-HSA-1655829","Regulation of cholesterol biosynthesis by SREBP (SREBF)","12/347","55/8526",0.218181818181818,5.36085931359707,6.68263755578054,1.54206002208719e-06,0.000144336818067361,0.000144336818067361,"DHCR7/FDPS/FASN/HMGCS1/FDFT1/SCD/INSIG2/INSIG1/ELOVL6/SQLE/ACACA/HMGCR",12
