"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","48/641","206/12837",0.233009708737864,4.6663738394196,12.1614861395469,9.11651942263219e-20,1.55870115266518e-16,1.0849294121559e-16,"ADAMTS1/LUM/COLEC12/GREM1/LAMA2/COL5A2/COL4A6/COL7A1/FLRT2/PLAU/ADAMTS5/ADAMTSL5/P3H4/BMP2/MMP14/PHLDB1/MMP1/DDR2/COL4A2/FAP/COL4A1/FBLN5/FBLN1/CTSK/RECK/COL4A5/TGFBI/APLP1/MMP12/COL8A1/FBN1/ITGA2/ADAMTS19/CARMIL2/LAMA1/MMP3/COL1A1/PXDN/FURIN/LRP1/COL1A2/EMILIN1/MFAP4/CCDC80/MMP10/COL16A1/COL3A1/IL6",48
"GO:0043062","extracellular structure organization","48/641","206/12837",0.233009708737864,4.6663738394196,12.1614861395469,9.11651942263219e-20,1.55870115266518e-16,1.0849294121559e-16,"ADAMTS1/LUM/COLEC12/GREM1/LAMA2/COL5A2/COL4A6/COL7A1/FLRT2/PLAU/ADAMTS5/ADAMTSL5/P3H4/BMP2/MMP14/PHLDB1/MMP1/DDR2/COL4A2/FAP/COL4A1/FBLN5/FBLN1/CTSK/RECK/COL4A5/TGFBI/APLP1/MMP12/COL8A1/FBN1/ITGA2/ADAMTS19/CARMIL2/LAMA1/MMP3/COL1A1/PXDN/FURIN/LRP1/COL1A2/EMILIN1/MFAP4/CCDC80/MMP10/COL16A1/COL3A1/IL6",48
"GO:0045229","external encapsulating structure organization","48/641","207/12837",0.231884057971014,4.64383097063013,12.1164914830482,1.13250265391028e-19,1.55870115266518e-16,1.0849294121559e-16,"ADAMTS1/LUM/COLEC12/GREM1/LAMA2/COL5A2/COL4A6/COL7A1/FLRT2/PLAU/ADAMTS5/ADAMTSL5/P3H4/BMP2/MMP14/PHLDB1/MMP1/DDR2/COL4A2/FAP/COL4A1/FBLN5/FBLN1/CTSK/RECK/COL4A5/TGFBI/APLP1/MMP12/COL8A1/FBN1/ITGA2/ADAMTS19/CARMIL2/LAMA1/MMP3/COL1A1/PXDN/FURIN/LRP1/COL1A2/EMILIN1/MFAP4/CCDC80/MMP10/COL16A1/COL3A1/IL6",48
"GO:0001568","blood vessel development","66/641","490/12837",0.13469387755102,2.69744977554204,8.78313200999211,1.03512768690973e-13,1.06851055481257e-10,7.43733669621653e-11,"FGF2/ADAMTS1/HSPB1/DCN/MFGE8/HOXA3/GREM1/HMOX1/THY1/MEF2C/TWIST1/ACTA2/AMOTL1/CD36/HAND2/CCL2/HOXB3/C3/VEGFD/ECM1/CHI3L1/ADGRA2/SPARC/CXCL8/MMP14/PTGS2/ADM/COL4A2/FAP/COL4A1/FBLN5/GRN/JAM3/MCAM/RECK/TGFBI/JCAD/NRP1/RSPO3/TCF21/SPHK1/COL8A1/FBN1/SH2D2A/IGFBP7/ARHGAP22/TEK/TBX2/TMEM100/COL1A1/MICALL1/PXDN/LRP1/COL1A2/FOXF1/THBS1/PLK2/EREG/EMILIN1/SERPINB7/PDGFRA/PRKD1/COL3A1/IL6/WNT5A/IL1B",66
"GO:0009887","animal organ morphogenesis","60/641","427/12837",0.140515222482436,2.81403106241346,8.73992945648425,2.30581391981866e-13,1.90414113498625e-10,1.32537190898342e-10,"FGF2/SCRIB/DCN/TMEM176B/LRRK2/HOXA3/BASP1/SAMD11/LIF/RAB23/GREM1/ACTG2/SALL1/FOXD1/SLC4A2/COL5A2/THY1/MEF2C/SNAI2/TWIST1/FLRT2/NRG1/ACTA2/FGF7/CYP26B1/GLI3/HAND2/CCL2/ADAMTS5/HOXB3/TCAP/HGF/SPARC/WNT2B/BMP2/HRAS/GDNF/PBX1/NRP1/TCF21/APLP1/FBN1/ITGA2/INHBA/ADAMTS19/TEK/FBN2/TBX2/FHL1/FGFR1/CITED2/COL1A1/ID3/COL1A2/FOXF1/EREG/STC1/PDGFRA/COL3A1/WNT5A",60
"GO:0071363","cellular response to growth factor stimulus","65/641","495/12837",0.131313131313131,2.62974518980759,8.47743946810672,5.31990033945986e-13,3.66097808360496e-10,2.54821316669313e-10,"FGF2/HSPB1/DCN/PDE3A/DAB2/CDKN2B/GREM1/BDNF/INPP5K/FOXD1/FST/MEF2C/SNAI2/TMEM204/DKK3/FLRT2/ACTA2/CCN1/FGF7/CCL2/VEGFD/HGF/GPC1/GREM2/PPM1A/CXCL8/BMP2/ITGB5/FERMT2/LTBP3/MDM2/SAP30L/DDR2/COL4A2/TNFAIP6/MICOS10-NBL1/ZEB2/JCAD/NRP1/TWSG1/SPHK1/FBN1/FSTL1/NBL1/GDF15/FBN2/TBX2/RGMB/FGFR1/TMEM100/CITED2/COL1A1/VASN/FURIN/NR3C1/COL1A2/GAS1/THBS1/EMILIN1/PDGFRA/PRKD1/COL3A1/FEZ1/WNT5A/IL1B",65
"GO:0048514","blood vessel morphogenesis","61/641","460/12837",0.132608695652174,2.65569083632911,8.29059359636998,1.89880004386584e-12,1.12002076873172e-09,7.7958720447776e-10,"FGF2/ADAMTS1/HSPB1/DCN/MFGE8/HOXA3/GREM1/HMOX1/THY1/TWIST1/AMOTL1/CD36/HAND2/CCL2/HOXB3/C3/VEGFD/ECM1/CHI3L1/ADGRA2/SPARC/CXCL8/MMP14/PTGS2/ADM/COL4A2/FAP/COL4A1/FBLN5/GRN/JAM3/MCAM/RECK/TGFBI/JCAD/NRP1/RSPO3/TCF21/SPHK1/COL8A1/FBN1/SH2D2A/IGFBP7/ARHGAP22/TEK/TBX2/TMEM100/MICALL1/PXDN/LRP1/FOXF1/THBS1/PLK2/EREG/EMILIN1/PDGFRA/PRKD1/COL3A1/IL6/WNT5A/IL1B",61
"GO:0001525","angiogenesis","56/641","417/12837",0.134292565947242,2.68941290025702,8.04041003250368,9.78896728077698e-12,5.05233073779102e-09,3.51666014232187e-09,"FGF2/ADAMTS1/HSPB1/DCN/MFGE8/HOXA3/GREM1/HMOX1/THY1/TWIST1/AMOTL1/CD36/HAND2/CCL2/HOXB3/C3/VEGFD/ECM1/CHI3L1/ADGRA2/SPARC/CXCL8/MMP14/PTGS2/ADM/COL4A2/FAP/COL4A1/FBLN5/GRN/JAM3/MCAM/RECK/TGFBI/JCAD/NRP1/RSPO3/TCF21/SPHK1/COL8A1/FBN1/SH2D2A/IGFBP7/ARHGAP22/TEK/MICALL1/PXDN/THBS1/PLK2/EREG/EMILIN1/PDGFRA/PRKD1/IL6/WNT5A/IL1B",56
"GO:0007169","cell surface receptor protein tyrosine kinase signaling pathway","60/641","472/12837",0.127118644067797,2.54574420264946,7.8441651096368,1.76431595432297e-11,8.09428952822171e-09,5.63400672711225e-09,"FGF2/HSPB1/IGFBP6/AXL/ANTXR1/DCN/PLAT/FBXW7/IGFBP2/GAB2/MTCL2/SOCS2/GREM1/ADORA1/BDNF/INPP5K/APOE/COL4A6/TMEM204/FLRT2/NRG1/FGF7/RHBDF1/SHC4/PLCB1/PDK4/PLAU/VEGFD/HGF/GPC1/BMP2/AREG/MMP14/HRAS/GDNF/DDR2/COL4A2/IGFBP5/CTSD/JCAD/NRP1/GDF15/IGFBP4/TEK/LCK/SORBS1/VAV1/TBX2/FGFR1/CD4/LRP1/SHC3/THBS1/EREG/EMILIN1/PDGFRA/PRKD1/RARRES2/SLC27A4/IL1B",60
"GO:0040017","positive regulation of locomotion","60/641","477/12837",0.125786163522013,2.51905925293616,7.7510373511579,2.74119775796639e-11,1.13184055426432e-08,7.87814331883013e-09,"FGF2/ADAMTS1/HSPB1/TNFRSF18/DUOX2/DAB2/GREM1/HMOX1/THY1/DUOXA2/SNAI2/TWIST1/ACTA2/CCN1/FGF7/CCL2/PLAU/VEGFD/HGF/SYDE1/SPARC/CXCL8/BMP2/MMP14/HRAS/PTGS2/FERMT2/MDM2/DDR2/RIPOR1/TNFAIP6/ATOH8/FBLN1/GRN/IGFBP5/JAM3/MCAM/F10/JCAD/NRP1/SPHK1/LPAR1/PLPP3/ITGA2/TRIP6/FERMT3/SWAP70/CARMIL2/TEK/FGFR1/COL1A1/THBS1/PLK2/PDGFRA/PRKD1/RARRES2/IL6/POPDC1/WNT5A/IL1B",60
"GO:2000147","positive regulation of cell motility","59/641","468/12837",0.126068376068376,2.52471098843954,7.70332681243295,3.70137355231311e-11,1.38936103613644e-08,9.67060715667291e-09,"FGF2/ADAMTS1/HSPB1/TNFRSF18/DUOX2/DAB2/GREM1/HMOX1/THY1/DUOXA2/SNAI2/TWIST1/ACTA2/CCN1/FGF7/CCL2/PLAU/VEGFD/HGF/SYDE1/SPARC/CXCL8/BMP2/MMP14/HRAS/PTGS2/FERMT2/MDM2/DDR2/RIPOR1/TNFAIP6/ATOH8/FBLN1/GRN/IGFBP5/JAM3/MCAM/F10/JCAD/NRP1/SPHK1/LPAR1/PLPP3/ITGA2/TRIP6/FERMT3/SWAP70/CARMIL2/TEK/FGFR1/COL1A1/THBS1/PLK2/PDGFRA/PRKD1/RARRES2/IL6/WNT5A/IL1B",59
"GO:0032963","collagen metabolic process","22/641","82/12837",0.268292682926829,5.37296906510407,9.10706132326716,4.88187146517471e-11,1.6797706066422e-08,1.16919945411278e-08,"CTSL/MRC2/P3H4/MMP14/MMP1/DDR2/UCN/FAP/CTSK/CYGB/MMP12/ITGA2/INHBA/MMP3/COL1A1/FURIN/EMILIN1/MFAP4/SERPINB7/CTSB/MMP10/IL6",22
"GO:0030335","positive regulation of cell migration","57/641","454/12837",0.125550660792952,2.51434295257273,7.53137707178987,9.55694185938455e-11,3.03543176441529e-08,2.11280346728135e-08,"FGF2/ADAMTS1/HSPB1/TNFRSF18/DAB2/GREM1/HMOX1/THY1/SNAI2/TWIST1/ACTA2/CCN1/FGF7/CCL2/PLAU/VEGFD/HGF/SYDE1/SPARC/CXCL8/BMP2/MMP14/HRAS/PTGS2/FERMT2/MDM2/DDR2/RIPOR1/TNFAIP6/ATOH8/FBLN1/GRN/IGFBP5/JAM3/MCAM/F10/JCAD/NRP1/SPHK1/LPAR1/PLPP3/ITGA2/TRIP6/FERMT3/SWAP70/CARMIL2/TEK/FGFR1/COL1A1/THBS1/PLK2/PDGFRA/PRKD1/RARRES2/IL6/WNT5A/IL1B",57
"GO:0009790","embryo development","58/641","470/12837",0.123404255319149,2.47135791814651,7.4502396095946,1.28949263413895e-10,3.80308220454266e-08,2.64712432752101e-08,"FGF2/SCRIB/HOXA3/BASP1/GREM1/CACNA1C/SALL1/LAMA2/COL5A2/PRICKLE2/MEF2C/TWIST1/COL7A1/CYP26B1/GLI3/PLCB1/HAND2/HOXB3/TCAP/FRZB/ARL13B/PITX1/GREM2/SPARC/CXCL8/BMP2/ITGB5/MMP14/GDNF/COL4A2/ATOH8/COL6A1/ITGA8/PBX1/NRP1/TCF21/COL8A1/FBN1/ITGA2/INHBA/TRIP6/LAMA4/FBN2/TBX2/LAMA1/FGFR1/CITED2/COL1A1/ID3/FURIN/FOXF1/GJA1/BLOC1S2/PDGFRA/COL3A1/RARRES2/DACT1/WNT5A",58
"GO:0042060","wound healing","44/641","304/12837",0.144736842105263,2.89857541670088,7.68019569673788,1.58317639224888e-10,4.08558457724728e-08,2.84375928389286e-08,"FGF2/HSPB1/AXL/PLAT/DUOX2/MYL9/ANGPTL2/HMOX1/SAA1/APOE/NRG1/CD36/PLAU/ITGB5/SMPD1/HRAS/FERMT2/DDR2/TFPI2/DCBLD2/FAP/FBLN1/MCAM/PROS1/F10/SYT11/SVEP1/IL6ST/MMP12/ITGA2/TFPI/FERMT3/CARMIL2/LCK/VAV1/CD40LG/THBS1/EREG/EMILIN1/PDGFRA/COL3A1/IL6/CDKN1A/WNT5A",44
"GO:0043410","positive regulation of MAPK cascade","44/641","304/12837",0.144736842105263,2.89857541670088,7.68019569673788,1.58317639224888e-10,4.08558457724728e-08,2.84375928389286e-08,"FGF2/IGFBP6/FBXW7/LRRK2/RASSF2/LIF/NEK10/ADORA1/APOE/EDA2R/MEF2C/NRG1/ACTA2/FGF7/CD36/PLCB1/HAND2/IL27RA/HGF/CHI3L1/GSDME/BMP2/MAP4K1/HRAS/FERMT2/DDR2/CCN2/JCAD/NRP1/GPR37/SPHK1/LPAR1/IL6ST/INHBA/GDF15/TEK/IL11/FGFR1/THBS1/IL13RA2/PDGFRA/IL6/WNT5A/IL1B",44
"GO:0009611","response to wounding","50/641","379/12837",0.131926121372032,2.64202124813225,7.43891121822089,2.52963991825733e-10,6.14404895440267e-08,4.27654743756325e-08,"FGF2/HSPB1/AXL/PLAT/DUOX2/MYL9/ANGPTL2/HMOX1/SAA1/APOE/IL33/NRG1/FGF7/CD36/PLAU/ITGB5/SMPD1/HRAS/FERMT2/DDR2/RIPOR1/TFPI2/DCBLD2/FAP/CCN2/FBLN1/GRN/MCAM/PROS1/F10/SYT11/NRP1/SVEP1/IL6ST/MMP12/ITGA2/TFPI/FERMT3/CARMIL2/LCK/VAV1/CD40LG/THBS1/EREG/EMILIN1/PDGFRA/COL3A1/IL6/CDKN1A/WNT5A",50
"GO:0001501","skeletal system development","36/641","231/12837",0.155844155844156,3.1210162692222,7.45755559165695,9.94989857324478e-10,2.28239617827376e-07,1.5886552337293e-07,"FGF2/FBXW7/HOXA3/LUM/HYAL3/RAB23/GREM1/MEF2C/SNAI2/TWIST1/CDH11/CYP26B1/HAND2/HOXB3/FRZB/PITX1/CHI3L1/WNT2B/BMP2/MMP14/DDR2/TNFRSF11B/FBLN5/TGFBI/FBN1/FBN2/FGFR1/COL1A1/COL1A2/GJA1/SBDS/STC1/PDGFRA/COL3A1/TIMP1/WNT5A",36
"GO:0030199","collagen fibril organization","17/641","58/12837",0.293103448275862,5.86984237990209,8.52149174569034,1.75207729593777e-09,3.80754060785634e-07,2.65022758620404e-07,"LUM/GREM1/COL5A2/COL4A6/COL7A1/P3H4/DDR2/COL4A2/COL4A1/COL4A5/FBN1/ADAMTS19/COL1A1/PXDN/COL1A2/EMILIN1/COL3A1",17
