"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1474244","Extracellular matrix organization","56/455","244/8526",0.229508196721311,4.30063051702396,12.4197664560711,1.70392433017279e-21,1.90498740113318e-18,1.90498740113318e-18,"FGF2/ADAMTS1/DCN/LUM/ACTG2/LAMA2/COL5A2/COL4A6/SGCB/COL7A1/ACTA2/ADAMTS5/SDC2/ITGA10/CTSL/DRP2/SPARC/BMP2/ITGB5/MMP14/LTBP3/MMP1/DDR2/COL4A2/COL4A1/FBLN5/FBLN1/A2M/JAM3/COL6A1/ITGA8/CTSK/CTSD/COL4A5/MMP12/COL8A1/FBN1/ITGA2/LAMA4/FBN2/LTBP1/LAMA1/MMP3/COL1A1/COL6A2/PXDN/FURIN/COL1A2/THBS1/EMILIN1/MFAP4/CTSB/MMP10/COL16A1/COL3A1/TIMP1",56
"R-HSA-1442490","Collagen degradation","23/455","49/8526",0.469387755102041,8.7956043956044,12.9931950726797,4.9737169084327e-17,2.78030775181388e-14,2.78030775181388e-14,"COL5A2/COL4A6/COL7A1/CTSL/MMP14/MMP1/COL4A2/COL4A1/COL6A1/CTSK/CTSD/COL4A5/MMP12/COL8A1/MMP3/COL1A1/COL6A2/FURIN/COL1A2/CTSB/MMP10/COL16A1/COL3A1",23
"R-HSA-1474228","Degradation of the extracellular matrix","30/455","102/8526",0.294117647058824,5.51131221719457,10.8826086038017,4.29690211442007e-15,1.60131218797388e-12,1.60131218797388e-12,"ADAMTS1/DCN/COL5A2/COL4A6/COL7A1/ADAMTS5/CTSL/MMP14/MMP1/COL4A2/COL4A1/A2M/COL6A1/CTSK/CTSD/COL4A5/MMP12/COL8A1/FBN1/FBN2/MMP3/COL1A1/COL6A2/FURIN/COL1A2/CTSB/MMP10/COL16A1/COL3A1/TIMP1",30
"R-HSA-216083","Integrin cell surface interactions","21/455","66/8526",0.318181818181818,5.96223776223776,9.60845530085602,1.13137803340912e-11,3.1622016033785e-09,3.1622016033785e-09,"LUM/COL5A2/COL4A6/COL7A1/ITGA10/ITGB5/COL4A2/COL4A1/JAM3/COL6A1/ITGA8/COL4A5/COL8A1/FBN1/ITGA2/COL1A1/COL6A2/COL1A2/THBS1/COL16A1/COL3A1",21
"R-HSA-3000171","Non-integrin membrane-ECM interactions","21/455","67/8526",0.313432835820896,5.87324913892078,9.50792444862653,1.56762878293578e-11,3.5052179586444e-09,3.5052179586444e-09,"FGF2/ACTG2/LAMA2/COL5A2/COL4A6/SGCB/ACTA2/SDC2/DRP2/ITGB5/DDR2/COL4A2/COL4A1/COL4A5/ITGA2/LAMA4/LAMA1/COL1A1/COL1A2/THBS1/COL3A1",21
"R-HSA-3000178","ECM proteoglycans","19/455","56/8526",0.339285714285714,6.35769230769231,9.55035016390519,3.07340949163366e-11,5.72678635274406e-09,5.72678635274406e-09,"DCN/LUM/LAMA2/COL5A2/COL4A6/SPARC/ITGB5/COL4A2/COL4A1/COL6A1/ITGA8/COL4A5/ITGA2/LAMA4/LAMA1/COL1A1/COL6A2/COL1A2/COL3A1",19
"R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","13/455","25/8526",0.52,9.744,10.3952362454715,6.95072534947473e-11,1.11013013438754e-08,1.11013013438754e-08,"FTH1/FTL/COLEC12/SAA1/APOE/CD36/SPARC/COL4A2/COL4A1/COL1A1/LRP1/COL1A2/COL3A1",13
"R-HSA-3000480","Scavenging by Class A Receptors","9/455","11/8526",0.818181818181818,15.3314685314685,11.2923395719688,1.6258869442519e-10,2.27217700459203e-08,2.27217700459203e-08,"FTH1/FTL/COLEC12/APOE/COL4A2/COL4A1/COL1A1/COL1A2/COL3A1",9
"R-HSA-8948216","Collagen chain trimerization","13/455","31/8526",0.419354838709677,7.85806451612903,9.08217655421261,2.05094541437658e-09,2.54772997030335e-07,2.54772997030335e-07,"COL5A2/COL4A6/COL7A1/COL4A2/COL4A1/COL6A1/COL4A5/COL8A1/COL1A1/COL6A2/COL1A2/COL16A1/COL3A1",13
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","16/455","51/8526",0.313725490196078,5.87873303167421,8.29681691995872,4.23458486465196e-09,4.73426587868089e-07,4.73426587868089e-07,"COL5A2/COL4A6/COL7A1/CTSL/COL4A2/COL4A1/COL6A1/COL4A5/COL8A1/MMP3/COL1A1/COL6A2/PXDN/COL1A2/CTSB/COL3A1",16
