gene_id,total_count,samples_detected,samples_with_10_or_more
ENSG00000210082,73234131,36,36
ENSG00000198804,55831497,36,36
ENSG00000198712,27378016,36,36
ENSG00000198886,23601109,36,36
ENSG00000198938,20418540,36,36
ENSG00000198727,14719562,36,36
ENSG00000198899,12351354,36,36
ENSG00000198786,12177112,36,36
ENSG00000211459,11325634,36,36
ENSG00000198888,7989776,36,36
ENSG00000198763,7411678,36,36
ENSG00000198695,5560004,36,36
ENSG00000198840,3873280,36,36
ENSG00000212907,3398960,36,36
ENSG00000156508,2986255,36,36
ENSG00000166710,2322447,36,36
ENSG00000228253,1886586,36,36
ENSG00000090382,1454680,36,36
ENSG00000245532,1310550,36,36
ENSG00000108602,1178465,36,36
ENSG00000111640,1005525,36,36
ENSG00000130066,944551,36,36
ENSG00000104368,932072,35,32
ENSG00000142541,760621,36,36
ENSG00000067225,737838,36,36
ENSG00000210196,725823,36,36
ENSG00000034510,709446,36,36
ENSG00000248527,701976,36,36
ENSG00000170421,682786,36,36
ENSG00000089157,647780,36,36
ENSG00000133112,626432,36,36
ENSG00000167658,618572,36,36
ENSG00000125999,618050,36,36
ENSG00000100316,596985,36,36
ENSG00000160181,587228,36,36
ENSG00000075624,581781,36,36
ENSG00000182718,576929,36,36
ENSG00000160182,568556,36,36
ENSG00000087086,560702,36,36
ENSG00000171345,559236,36,36
ENSG00000140988,556840,36,36
ENSG00000174444,550119,36,36
ENSG00000205542,547862,36,36
ENSG00000108654,543964,36,36
ENSG00000197956,541141,36,36
ENSG00000234745,540629,36,36
ENSG00000184956,535399,36,36
ENSG00000210135,507547,36,36
ENSG00000074800,499766,36,36
ENSG00000100201,499224,36,36
ENSG00000206503,498183,36,36
ENSG00000198203,493052,36,36
ENSG00000137154,483918,36,36
ENSG00000187514,483452,36,36
ENSG00000148346,464198,36,36
ENSG00000102144,459257,36,36
ENSG00000105372,452087,36,36
ENSG00000142534,446503,36,36
ENSG00000166598,438542,36,36
ENSG00000135486,425072,36,36
ENSG00000019582,425058,36,36
ENSG00000070756,415891,36,36
ENSG00000134333,415704,36,36
ENSG00000168028,415421,36,36
ENSG00000066405,407767,36,36
ENSG00000122566,407057,36,36
ENSG00000167978,406408,36,36
ENSG00000169045,399958,36,36
ENSG00000096088,398978,36,36
ENSG00000140105,397499,36,36
ENSG00000148303,393315,36,36
ENSG00000149273,391654,36,36
ENSG00000142937,384910,36,36
ENSG00000147604,381727,36,36
ENSG00000185215,377206,36,36
ENSG00000229117,376444,36,36
ENSG00000156976,366662,36,36
ENSG00000174748,366182,36,36
ENSG00000105640,365049,36,36
ENSG00000102265,362943,36,36
ENSG00000089009,362660,36,36
ENSG00000184009,362327,36,36
ENSG00000204628,359462,36,36
ENSG00000185499,358221,36,36
ENSG00000265972,356690,36,36
ENSG00000196262,354858,36,36
ENSG00000161016,351745,36,36
ENSG00000231500,350970,36,36
ENSG00000210140,348774,36,36
ENSG00000176153,345385,36,36
ENSG00000150991,345004,36,36
ENSG00000167526,344305,36,36
ENSG00000147403,344060,36,36
ENSG00000204592,343837,36,36
ENSG00000112715,338537,36,36
ENSG00000080824,336146,36,36
ENSG00000145425,334138,36,36
ENSG00000138326,333525,36,36
ENSG00000162896,332501,36,36
ENSG00000181163,326799,36,36
ENSG00000096384,325380,36,36
ENSG00000115524,320695,36,36
ENSG00000272398,318540,36,36
ENSG00000198034,317832,36,36
ENSG00000162909,317818,36,36
ENSG00000099194,316884,36,36
ENSG00000164587,315835,36,36
ENSG00000225630,313626,36,36
ENSG00000122406,313172,36,36
ENSG00000134884,311633,36,36
ENSG00000072778,310397,36,36
ENSG00000142676,308696,36,36
ENSG00000167460,300912,36,36
ENSG00000071082,296804,36,36
ENSG00000135821,294340,36,36
ENSG00000108848,293730,36,36
ENSG00000215182,290531,36,36
ENSG00000008988,290084,36,36
ENSG00000197958,285396,36,36
ENSG00000117335,283837,36,36
ENSG00000108298,282791,36,36
ENSG00000111057,282202,36,36
ENSG00000179218,282025,36,36
ENSG00000021355,281732,36,36
ENSG00000164111,281483,36,36
ENSG00000065978,280140,36,36
ENSG00000164924,279526,36,36
ENSG00000162244,279333,36,36
ENSG00000026025,278707,36,36
ENSG00000106541,275910,36,36
ENSG00000087460,275901,36,36
ENSG00000137818,273072,36,36
ENSG00000204525,271361,36,36
ENSG00000063177,269017,36,36
ENSG00000143153,268742,36,36
ENSG00000110321,267217,36,36
ENSG00000100345,265865,36,36
ENSG00000125691,262517,36,36
ENSG00000166441,260569,36,36
ENSG00000128272,259043,36,36
ENSG00000092199,257710,36,36
ENSG00000132424,256901,36,36
ENSG00000131051,255896,36,36
ENSG00000147162,254970,36,36
ENSG00000163931,253675,36,36
ENSG00000251562,252809,36,36
ENSG00000139644,252782,36,36
ENSG00000111669,251788,36,36
ENSG00000105825,249647,28,25
ENSG00000198959,249128,36,36
ENSG00000116754,247718,36,36
ENSG00000142192,247664,36,36
ENSG00000044574,244613,36,36
ENSG00000130513,244468,36,36
ENSG00000173821,242107,36,36
ENSG00000185624,240949,36,36
ENSG00000173812,235568,36,36
ENSG00000143933,233616,36,36
ENSG00000145592,231993,36,36
ENSG00000125844,231522,36,36
ENSG00000150093,230571,36,36
ENSG00000115414,228604,36,36
ENSG00000109971,228294,36,36
ENSG00000105193,228172,36,36
ENSG00000167004,227976,36,36
ENSG00000132475,227936,36,36
ENSG00000110955,227703,36,36
ENSG00000108679,227201,36,36
ENSG00000197756,227156,36,36
ENSG00000112306,226742,36,36
ENSG00000144713,226522,36,36
ENSG00000115053,226316,36,36
ENSG00000092841,225662,36,36
ENSG00000163660,225618,36,36
ENSG00000062716,225533,36,36
ENSG00000163435,223847,36,36
ENSG00000198242,223542,36,36
ENSG00000197249,221236,36,36
ENSG00000170889,219497,36,36
ENSG00000167996,217354,36,36
ENSG00000196576,215119,36,36
ENSG00000124942,214716,36,36
ENSG00000127022,214393,36,36
ENSG00000170345,213935,36,36
ENSG00000152795,212907,36,36
ENSG00000115677,211715,36,36
ENSG00000170144,210490,36,36
ENSG00000221978,207704,36,36
ENSG00000196188,207408,36,36
ENSG00000118181,207223,36,36
ENSG00000009307,206506,36,36
ENSG00000171863,206103,36,36
ENSG00000108107,205886,36,36
ENSG00000177606,205822,36,36
ENSG00000109046,205632,36,36
ENSG00000196924,203066,36,36
ENSG00000143384,201315,36,36
ENSG00000198755,200159,36,36
ENSG00000172270,199435,36,36
ENSG00000112697,199216,36,36
ENSG00000120306,197525,36,36
ENSG00000197746,196548,36,36
ENSG00000116560,196431,36,36
ENSG00000085733,195011,36,36
ENSG00000165119,194917,36,36
ENSG00000143947,194857,36,36
ENSG00000115648,194282,36,36
ENSG00000105220,193062,36,36
ENSG00000091409,192415,36,36
ENSG00000136068,192152,36,36
ENSG00000188846,191425,36,36
ENSG00000198363,190569,36,36
ENSG00000167615,190315,36,36
ENSG00000131469,189527,36,36
ENSG00000108846,188942,36,36
ENSG00000275896,184522,36,36
ENSG00000135404,182407,36,36
ENSG00000169429,182137,36,36
ENSG00000187109,182023,36,36
ENSG00000063046,181975,36,36
ENSG00000152234,181884,36,36
ENSG00000067560,180268,36,36
ENSG00000118680,179571,36,36
ENSG00000107581,179348,36,36
ENSG00000134294,176824,36,36
ENSG00000026508,176733,36,36
ENSG00000124762,176173,36,36
ENSG00000122026,176084,36,36
ENSG00000145632,175251,36,36
ENSG00000100644,174695,36,36
ENSG00000127324,174327,36,36
ENSG00000092820,174168,36,36
ENSG00000104419,173794,36,36
ENSG00000100650,173581,36,36
ENSG00000116260,173064,36,36
ENSG00000004534,172938,36,36
ENSG00000103534,172430,36,36
ENSG00000237550,172123,36,36
ENSG00000115268,171841,36,36
ENSG00000172757,171682,36,36
ENSG00000110700,171400,36,36
ENSG00000108953,168626,36,36
ENSG00000168385,168501,36,36
ENSG00000079805,168480,36,36
ENSG00000184012,167846,36,36
ENSG00000136942,167372,36,36
ENSG00000109511,166817,36,36
ENSG00000136938,165859,36,36
ENSG00000084234,165456,36,36
ENSG00000204287,164937,36,34
ENSG00000159167,164723,36,35
ENSG00000137309,164491,36,36
ENSG00000109475,164375,36,36
ENSG00000119335,163992,36,36
ENSG00000177106,163432,36,36
ENSG00000136238,162909,36,36
ENSG00000189403,162574,36,36
ENSG00000196531,161598,36,36
ENSG00000110092,161353,36,36
ENSG00000119707,161176,36,36
ENSG00000083845,161124,36,36
ENSG00000163682,160618,36,36
ENSG00000153187,159154,36,36
ENSG00000215301,159107,36,36
ENSG00000163399,158898,36,36
ENSG00000182899,158769,36,36
ENSG00000084207,158562,36,36
ENSG00000138668,158377,36,36
ENSG00000114391,158008,36,36
ENSG00000158710,157958,36,36
ENSG00000135480,157799,36,36
ENSG00000144381,157753,36,36
ENSG00000115415,157606,36,36
ENSG00000115306,157216,36,36
ENSG00000114857,157130,36,36
ENSG00000162645,156785,36,36
ENSG00000139289,156245,36,36
ENSG00000260032,155752,36,36
ENSG00000100813,155582,36,36
ENSG00000107372,154883,36,36
ENSG00000198467,154235,36,36
ENSG00000169908,153417,36,36
ENSG00000129351,153359,36,36
ENSG00000077147,153153,36,36
ENSG00000161798,152113,36,36
ENSG00000104852,151245,36,36
ENSG00000100342,151106,36,36
ENSG00000198918,150861,36,36
ENSG00000213719,150695,36,36
ENSG00000147140,150616,36,36
ENSG00000164733,149998,36,36
ENSG00000182240,148591,36,36
ENSG00000163466,148408,36,36
ENSG00000013588,147992,36,36
ENSG00000189060,147186,36,36
ENSG00000145741,147180,36,36
ENSG00000152558,146493,36,36
ENSG00000079459,145796,36,36
ENSG00000109332,145401,36,36
ENSG00000234741,144897,36,36
ENSG00000197930,144882,36,36
ENSG00000182944,144555,36,36
ENSG00000106258,144034,36,36
ENSG00000143549,143993,36,36
ENSG00000104904,143892,36,36
ENSG00000074695,143484,36,36
ENSG00000138071,143449,36,36
ENSG00000100097,143422,36,35
ENSG00000112096,143122,36,36
ENSG00000129250,142852,36,36
ENSG00000120889,142466,36,36
ENSG00000177600,142420,36,36
ENSG00000115641,142285,36,36
ENSG00000135046,141674,36,36
ENSG00000126709,141587,36,36
ENSG00000085063,140950,36,36
ENSG00000198408,140879,36,36
ENSG00000136156,140824,36,36
ENSG00000181019,140269,36,36
ENSG00000232931,140217,36,36
ENSG00000198563,139624,36,36
ENSG00000221983,139553,36,36
ENSG00000075415,139505,36,36
ENSG00000136153,139371,36,36
ENSG00000177954,138961,36,36
ENSG00000132470,138921,36,36
ENSG00000101608,138212,36,36
ENSG00000067082,137351,36,36
ENSG00000131203,137311,18,14
