sample,PC1,PC2,geo_accession,donor,microenvironment,treatment
P02con,-40.71090823887456,-55.44911911928274,GSM9823228,P02,Microenvironment_1,Control
P02fu,-45.14431693042895,-38.70528126543059,GSM9823229,P02,Microenvironment_1,5-FU
P02ox,-43.23035258397668,-61.85324134503099,GSM9823230,P02,Microenvironment_1,Oxaliplatin
P03con,-51.49237218591888,-47.17755829001435,GSM9823231,P03,Microenvironment_1,Control
P03fu,-75.01903130011432,-2.929715869987151,GSM9823232,P03,Microenvironment_1,5-FU
P03ox,-56.647536179221206,-37.770320293895416,GSM9823233,P03,Microenvironment_1,Oxaliplatin
P07con,-58.19326447153075,-46.61996370375652,GSM9823234,P07,Microenvironment_1,Control
P07fu,-75.07889117738083,-13.97506532791459,GSM9823235,P07,Microenvironment_1,5-FU
P07ox,-68.9763497314393,-30.583491744399737,GSM9823236,P07,Microenvironment_1,Oxaliplatin
P15con,-49.95644496849852,-38.5906470203138,GSM9823237,P15,Microenvironment_1,Control
P15fu,-50.73438619321899,-38.25489754512386,GSM9823238,P15,Microenvironment_1,5-FU
P15ox,-48.03140466107908,-45.46224079536485,GSM9823239,P15,Microenvironment_1,Oxaliplatin
P02_Ccon,-34.13362948995018,-9.59775430168388,GSM9823240,P02,Microenvironment_2,Control
P02_Cfu,-48.45228450795112,78.13893515866738,GSM9823241,P02,Microenvironment_2,5-FU
P02_Cox,-31.50677971759394,15.743799733230766,GSM9823242,P02,Microenvironment_2,Oxaliplatin
P03_Ccon,-54.70791328840659,31.37565178552805,GSM9823243,P03,Microenvironment_2,Control
P03_Cfu,-34.244225389219665,49.14226413951165,GSM9823244,P03,Microenvironment_2,5-FU
P03_Cox,-43.14488168986026,86.85170294837542,GSM9823245,P03,Microenvironment_2,Oxaliplatin
P07_Ccon,-19.518009825186546,46.85831188804761,GSM9823246,P07,Microenvironment_2,Control
P07_Cfu,-50.649468236060216,83.31994501789657,GSM9823247,P07,Microenvironment_2,5-FU
P07_Cox,-27.926076575461916,47.5634333182177,GSM9823248,P07,Microenvironment_2,Oxaliplatin
P15_Ccon,-24.26751263755684,49.38598173224143,GSM9823249,P15,Microenvironment_2,Control
P15_Cfu,-17.610058279107733,39.49838580246817,GSM9823250,P15,Microenvironment_2,5-FU
P15_Cox,-8.217166873053916,53.423567598587205,GSM9823251,P15,Microenvironment_2,Oxaliplatin
P02_CPc,53.49644314554595,-40.58140153518715,GSM9823252,P02,Microenvironment_3,Control
P02_CPp1,64.16877032212938,-38.87155181626288,GSM9823253,P02,Microenvironment_3,Immunotherapy
P02_CPs1,72.51113020385287,-30.283677033589292,GSM9823254,P02,Microenvironment_3,Chemotherapy + Immunotherapy
P03_CPc,77.09674980364522,-37.578613024019695,GSM9823255,P03,Microenvironment_3,Control
P03_CPp1,76.01162748020268,-36.31442262582221,GSM9823256,P03,Microenvironment_3,Immunotherapy
P03_CPs1,88.17323256953426,-24.60477115151267,GSM9823257,P03,Microenvironment_3,Chemotherapy + Immunotherapy
P07_CPc,113.5318568633318,29.410426762575167,GSM9823258,P07,Microenvironment_3,Control
P07_CPp1,112.18020139189115,27.486961248422645,GSM9823259,P07,Microenvironment_3,Immunotherapy
P07_CPs1,109.14281548426712,61.24645375011489,GSM9823260,P07,Microenvironment_3,Chemotherapy + Immunotherapy
P15_CPc,94.95260812864201,-20.314652254999746,GSM9823261,P15,Microenvironment_3,Control
P15_CPp1,86.12038508256605,-18.617747491725662,GSM9823262,P15,Microenvironment_3,Immunotherapy
P15_CPs1,110.20744465548253,14.690312671433201,GSM9823263,P15,Microenvironment_3,Chemotherapy + Immunotherapy
