,P02con,P02fu,P02ox,P03con,P03fu,P03ox,P07con,P07fu,P07ox,P15con,P15fu,P15ox,P02_Ccon,P02_Cfu,P02_Cox,P03_Ccon,P03_Cfu,P03_Cox,P07_Ccon,P07_Cfu,P07_Cox,P15_Ccon,P15_Cfu,P15_Cox,P02_CPc,P02_CPp1,P02_CPs1,P03_CPc,P03_CPp1,P03_CPs1,P07_CPc,P07_CPp1,P07_CPs1,P15_CPc,P15_CPp1,P15_CPs1
P02con,1.0,0.9849937857243787,0.9889152914144186,0.9880419884616497,0.9738611907693598,0.9864879758987153,0.9677154547652975,0.9766116133436774,0.9768891044849156,0.9734412054691051,0.9588082655389232,0.969811176313041,0.9720970567173819,0.9314988525641443,0.9664179814277492,0.964787591904072,0.9460215848516114,0.9160366284243258,0.9532375742567073,0.9311586806025349,0.9547658985459243,0.9498545258788883,0.9514975227742137,0.9408694017769875,0.9696194106825299,0.9643984646597408,0.9590439270314081,0.9569191802601712,0.9571125065718532,0.9472544120710035,0.9130750421158891,0.91395332534454,0.8853722482121266,0.9383028278433961,0.9412995850896813,0.9113933154893218
P02fu,0.9849937857243787,1.0,0.9849418634771238,0.9792992965269294,0.9842824410035821,0.9847628785448828,0.9715310284728939,0.9761002173610585,0.9769995211056954,0.972634802607527,0.9639234102572899,0.9720918932452067,0.9638886421264808,0.9423921439946246,0.9615334695761483,0.9638331008772463,0.9479203806217693,0.9252023263302888,0.9529635735546985,0.9417161913392786,0.9559459081983152,0.9547551087047489,0.9563922322992402,0.9461390227846993,0.969097386884019,0.9638851381948178,0.9621233647086801,0.9541429999009979,0.9538005850519566,0.9485369370899316,0.9123576545404567,0.912534010465495,0.889074190519636,0.9408603127541988,0.9445373531651604,0.9206341884284874
P02ox,0.9889152914144186,0.9849418634771238,1.0,0.9904907903383585,0.9757691957687417,0.9849603691230999,0.9717910685452015,0.9844677814368908,0.9852749222243036,0.9730313414078955,0.9553095891606725,0.970617007626778,0.966808459946901,0.929319911539701,0.9620876190928273,0.9689291106055461,0.9429691559533369,0.914737615463427,0.9504331459460714,0.9311289188847937,0.9543317132300865,0.9480791583558513,0.9492577263829473,0.9392781195607062,0.9668204873947122,0.9601999224358478,0.9555653300955703,0.9569230664034253,0.9560941841401058,0.9473618980555942,0.9085849798653443,0.9090849095887825,0.8817429742776358,0.9372577168204927,0.9398383704365983,0.9098600057733485
P03con,0.9880419884616497,0.9792992965269294,0.9904907903383585,1.0,0.972915011730976,0.9841230210008296,0.969836732644639,0.9813485613963647,0.9825121938577429,0.9736460746771196,0.9520472317227308,0.9687126848544885,0.9736004179951951,0.9320946779494844,0.9678367205951708,0.9733953260588175,0.9490079996320873,0.9182756664156074,0.9534874053523639,0.9316150812529272,0.9557932613153429,0.948348458809826,0.9508626691341675,0.9387255272602251,0.9655443652027056,0.9602704330956534,0.9530250347981377,0.9558441813460897,0.9547047434149358,0.9449425410217126,0.9084096219079393,0.909364687572266,0.8787737406742837,0.9348920562257895,0.9366289373968959,0.9055986178916599
P03fu,0.9738611907693598,0.9842824410035821,0.9757691957687417,0.972915011730976,1.0,0.9791850885930573,0.9681047544577973,0.9781687654232233,0.9753031396774904,0.9680336028928227,0.9640874488470008,0.967263465684975,0.9563726523214164,0.9417829475179353,0.9553900313257194,0.9637269193932846,0.9456678932320146,0.9254741775796993,0.9493330147028577,0.9449057386497568,0.9523851510963568,0.9504534315654852,0.9518584173487242,0.9413940850793397,0.954963287548723,0.9493617462203475,0.9466079311900166,0.9408176113541674,0.9411647160084785,0.9349755178364275,0.9000350092794123,0.9004527831920549,0.8798647354014894,0.9277584217389081,0.9312163922825913,0.9095147193426302
P03ox,0.9864879758987153,0.9847628785448828,0.9849603691230999,0.9841230210008296,0.9791850885930573,1.0,0.9708597049767285,0.9753782052381751,0.9764341981565445,0.9716707207324964,0.9579437581016148,0.9684820740808633,0.9656742892509421,0.9346997903173253,0.9620892608783773,0.9661727593017132,0.9482406808934968,0.9205951052189673,0.9503103842534617,0.9342060710078489,0.953104663393784,0.9513543271807438,0.9515136087798357,0.9412876032128988,0.9631327243371616,0.9582585896161143,0.9528334766413324,0.9489331679384175,0.9485339349429527,0.9405835363251043,0.9055329520264047,0.9060662714870268,0.8786961024692501,0.9344671470937326,0.9375416767774809,0.9081254033986345
P07con,0.9677154547652975,0.9715310284728939,0.9717910685452015,0.969836732644639,0.9681047544577973,0.9708597049767285,1.0,0.9689113098424509,0.9734827547834888,0.9841640900014788,0.9736859447549097,0.984427364769813,0.9512177973451513,0.9128361368302893,0.9428519370421342,0.9504471836834344,0.9310225537205156,0.895600955441406,0.9379432848877497,0.919891676158982,0.9387602868632824,0.9420488805226434,0.9435395883719252,0.933077960306693,0.9479520207512484,0.9464516655604701,0.9393200633128229,0.9333930766773612,0.9312932786943402,0.9256529954549121,0.8891699937044787,0.8903165496132888,0.8641910293641442,0.9277050567910836,0.926753580791614,0.9035414797984896
P07fu,0.9766116133436774,0.9761002173610585,0.9844677814368908,0.9813485613963647,0.9781687654232233,0.9753782052381751,0.9689113098424509,1.0,0.9870943095813521,0.9690236994761341,0.9577691106433859,0.9670414058417642,0.9571499352449961,0.930498882033907,0.9545634252302022,0.9677033500830159,0.9385879075671075,0.914503182545813,0.9486067157712117,0.9376444033497224,0.9533853661208395,0.9446923687960054,0.9459695803314612,0.9354754454785363,0.9534177765636574,0.9462376787151355,0.9407825225114637,0.9447372018411246,0.9450815278973509,0.9354631102542952,0.898519428139302,0.8993128982620259,0.8750406233765973,0.9266458112663116,0.9290677374275952,0.9010540449224129
P07ox,0.9768891044849156,0.9769995211056954,0.9852749222243036,0.9825121938577429,0.9753031396774904,0.9764341981565445,0.9734827547834888,0.9870943095813521,1.0,0.9723152130309686,0.958099261113579,0.9714306151025948,0.9572878276285967,0.9254447980346565,0.9529835887537232,0.9648602334547826,0.9360943320131303,0.9082177971995137,0.9451487557455863,0.9315656365400651,0.9496511351046749,0.9424571196921495,0.9441129538994145,0.9333155766122871,0.953440660496942,0.9475888640514707,0.942162773606606,0.9437033947474629,0.9425071080019849,0.934039467729566,0.8956478065549021,0.896472933796609,0.8711538409964785,0.9263026212377656,0.9276789971912708,0.900507477895944
P15con,0.9734412054691051,0.972634802607527,0.9730313414078955,0.9736460746771196,0.9680336028928227,0.9716707207324964,0.9841640900014788,0.9690236994761341,0.9723152130309686,1.0,0.9795909237489092,0.9899296426970948,0.9606975617188369,0.9241455438343694,0.9532175032787147,0.9567317027626717,0.9396405149023513,0.9059737022291806,0.9493227652887564,0.9290861580165254,0.948489069005208,0.9508242627292578,0.9540914238060882,0.9415939555536558,0.9585692856584953,0.9575066590867118,0.9500982342925158,0.9428208748903789,0.9414867850825364,0.9353008844213561,0.9010351832789641,0.9023669013473855,0.8739714889652702,0.9369814782500042,0.9368153901618891,0.9125211064495532
